aquired,date,notes,relinquished,team
,2003-12-31,pulled groin (DNP),Aaron Williams,Nets
,2003-12-31,strained left groin (DNP),Marcus Camby,Nuggets
,2004-01-02,bruised right quadricep (DNP),Ira Newble,Cavaliers
,2004-01-02,bruised right shoulder (DNP),Jumaine Jones,Celtics
,2004-01-02,torn ACL in left knee (DNP),Ben Handlogten,Jazz
,2004-01-02,sore left knee (DNP),Allan Houston,Knicks
,2004-01-02,strained left groin (DNP),Frank Williams,Knicks
,2004-01-02,sprained right knee (DNP),Karl Malone,Lakers
,2004-01-02,tooth infection (DNP),Danny Fortson,Mavericks
,2004-01-02,pulled groin (DNP),Aaron Williams,Nets
,2004-01-02,lower abdominal strain (DNP),Anthony Johnson,Pacers
,2004-01-02,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-03,strained left hamstring (DNP),Aaron McKie,76ers
,2004-01-03,bruised right knee (DNP),Allen Iverson,76ers
,2004-01-03,torn ACL in left knee (DNP),Ben Handlogten,Jazz
,2004-01-03,strained right knee (DNP),Matt Harpring,Jazz
,2004-01-03,abdominal strain (DNP),Anthony Johnson,Pacers
,2004-01-03,back spasms (DNP),Corliss Williamson,Pistons
,2004-01-03,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-03,illness (DNP),Calbert Cheaney,Warriors
,2004-01-04,sprained left foot (DNP),Marko Jaric,Clippers
,2004-01-04,sprained right wrist (DNP),Bobby Simmons,Clippers
,2004-01-04,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-04,strained left groin (DNP),Frank Williams,Knicks
,2004-01-04,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-04,pulled groin (DNP),Aaron Williams,Nets
,2004-01-05,strained left hamstring (DNP),Aaron McKie,76ers
,2004-01-05,bruised right shoulder (DNP),Jumaine Jones,Celtics
,2004-01-05,strained right knee (DNP),Matt Harpring,Jazz
,2004-01-05,strained left hamstring (DNP),Josh Howard,Mavericks
,2004-01-05,abdominal strain (DNP),Anthony Johnson,Pacers
,2004-01-05,fracture in left wrist (out indefinitely),Milt Palacio,Raptors
,2004-01-05,abdominal strain (DNP),Michael Ruffin,Jazz
,2004-01-06,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-06,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-06,pulled groin (DNP),Aaron Williams,Nets
,2004-01-06,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-07,strained left hamstring (DNP),Aaron McKie,76ers
,2004-01-07,sprained left knee (DNP),Derrick Coleman,76ers
,2004-01-07,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-07,strained left hamstring (DNP),Josh Howard,Mavericks
,2004-01-07,fracture in left wrist (DNP),Milt Palacio,Raptors
,2004-01-07,right ankle inflammation (DNP),Troy Murphy,Warriors
,2004-01-08,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-09,strained left hamstring (DNP),Aaron McKie,76ers
,2004-01-09,sprained left ankle (DNP),Rasheed Wallace,Blazers
,2004-01-09,right knee injury (DNP),Dan Gadzuric,Bucks
,2004-01-09,flu (DNP),Marcus Fizer,Bulls
,2004-01-09,sprained right hand (DNP),Quentin Richardson,Clippers
,2004-01-09,strained right knee (DNP),Matt Harpring,Jazz
,2004-01-09,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-09,strained left hamstring (DNP),Josh Howard,Mavericks
,2004-01-09,fracture in left wrist (DNP),Milt Palacio,Raptors
,2004-01-09,sprained right knee (DNP),Chris Bosh,Raptors
,2004-01-10,strained left hamstring (DNP),Aaron McKie,76ers
,2004-01-10,strained right patellar tendon (DNP),Dan Gadzuric,Bucks
,2004-01-10,strained left quadricep (DNP),Vernell Coles / Bimbo Coles,Heat
,2004-01-10,arthroscopic surgery on left knee to repair torn cartilage (date approximate),Matt Harpring,Jazz
,2004-01-10,strained left knee (DNP),Matt Harpring,Jazz
,2004-01-10,sprained right ankle (DNP),Gary Trent,Timberwolves
,2004-01-10,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-10,bone spurs in right ankle (DNP),Troy Murphy,Warriors
,2004-01-11,sprained left ankle (DNP),Rasheed Wallace,Blazers
,2004-01-11,sprained left foot (DNP),Doug Overton,Clippers
,2004-01-11,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-11,strained left hamstring (DNP),Josh Howard,Mavericks
,2004-01-11,sprained right knee (DNP),Chris Bosh,Raptors
,2004-01-12,sprained left knee (DNP),Derrick Coleman,76ers
,2004-01-12,right knee injury (DNP),Keith Van Horn,Knicks
,2004-01-12,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-12,strained left hamstring (DNP),Josh Howard,Mavericks
,2004-01-12,deep bone bruise and stress reaction in right ankle (out 4-6 weeks),Troy Murphy,Warriors
,2004-01-12,bone spurs in right ankle (DNP),Troy Murphy,Warriors
,2004-01-13,sprained left ankle (DNP),Rasheed Wallace,Blazers
,2004-01-13,strained right patellar tendon (DNP),Dan Gadzuric,Bucks
,2004-01-13,flu-like symptoms (DNP),Corie Blount,Bulls
,2004-01-13,sprained right hand (DNP),Quentin Richardson,Clippers
,2004-01-13,sore right knee (DNP),David West,Hornets
,2004-01-13,right knee injury (DNP),Matt Harpring,Jazz
,2004-01-13,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-13,sprained right shoulder (out indefinitely),Kobe Bryant,Lakers
,2004-01-13,sprained right ankle (DNP),Gary Trent,Timberwolves
,2004-01-13,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-13,deep bone bruise and stress reaction in right ankle (DNP),Troy Murphy,Warriors
,2004-01-14,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-14,sprained left ankle (out 2-3 weeks),Tony Delk,Mavericks
,2004-01-14,bruised right leg (DNP),Al Harrington,Pacers
,2004-01-14,sprained right knee (DNP),Chris Bosh,Raptors
,2004-01-14,sprained left foot (DNP),Kelvin Cato,Rockets
,2004-01-14,sprained right ankle (DNP),Gary Trent,Timberwolves
,2004-01-14,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-15,strained right knee (DNP),Dan Gadzuric,Bucks
,2004-01-15,sore right knee (DNP),David West,Hornets
,2004-01-15,strained right knee (DNP),Matt Harpring,Jazz
,2004-01-15,sprained right knee (DNP),Chris Bosh,Raptors
,2004-01-15,flu (DNP),Brian Cardinal,Warriors
,2004-01-15,deep bone bruise and stress reaction in right ankle (DNP),Troy Murphy,Warriors
,2004-01-16,sprained right hand (DNP),Quentin Richardson,Clippers
,2004-01-16,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-16,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-16,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-16,flu-like symptoms (DNP),Brian Cardinal,Warriors
,2004-01-16,deep bone bruise and stress reaction in right ankle (DNP),Troy Murphy,Warriors
,2004-01-17,sprained right ankle (DNP),Kenny Thomas,76ers
,2004-01-17,sprained left hip (DNP),Bobby Simmons,Clippers
,2004-01-17,sprained right hand (DNP),Quentin Richardson,Clippers
,2004-01-17,sore right knee (DNP),David West,Hornets
,2004-01-17,right knee surgery (DNP),Matt Harpring,Jazz
,2004-01-17,left ankle tendinitis (DNP),Maurice Williams / Mo Williams,Jazz
,2004-01-17,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-17,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-17,sore right hip (DNP),Steve Nash,Mavericks
,2004-01-17,strained right quadricep (DNP),Vince Carter,Raptors
,2004-01-17,upper respiratory ailment (DNP),Reggie Evans,Sonics
,2004-01-17,sprained right ankle (DNP),Gary Trent,Timberwolves
,2004-01-17,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-01-19,sore right knee (DNP),David West,Hornets
,2004-01-19,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-19,sprained left foot (DNP),Michael Ruffin,Jazz
,2004-01-19,sprained right ankle (DNP),Andrei Kirilenko,Jazz
,2004-01-19,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-19,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-19,sore left knee (DNP),Jonathan Bender,Pacers
,2004-01-19,strained right quadricep (DNP),Vince Carter,Raptors
,2004-01-19,sprained ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-19,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-20,sprained right ankle (DNP),LeBron James,Cavaliers
,2004-01-20,strained left hamstring (DNP),Chris Mihm,Celtics
,2004-01-20,bruised left knee (DNP),Brian Grant,Heat
,2004-01-20,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-20,sprained right ankle (DNP),Andrei Kirilenko,Jazz
,2004-01-20,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-20,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-20,flu (DNP),Marquis Daniels,Mavericks
,2004-01-20,sore left knee (DNP),Jonathan Bender,Pacers
,2004-01-21,right foot irritation (DNP),Travis Hansen,Hawks
,2004-01-21,sprained left ankle (DNP),Baron Davis,Hornets
,2004-01-21,sore right knee (DNP),David West,Hornets
,2004-01-21,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-21,strained right buttock (DNP),Tyronn Lue,Magic
,2004-01-21,sprained left ankle (DNP),Robert Archibald,Raptors
,2004-01-21,strained right quadricep (DNP),Vince Carter,Raptors
,2004-01-21,sprained left ankle (DNP),Malik Rose,Spurs
,2004-01-21,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-21,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-22,sprained right ankle (DNP),LeBron James,Cavaliers
,2004-01-22,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-22,sprained right ankle (DNP),Jamal Sampson,Lakers
,2004-01-22,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-22,tooth infection (DNP),Danny Fortson,Mavericks
,2004-01-22,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-22,flu (DNP),Marquis Daniels,Mavericks
,2004-01-22,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-23,broken right pinky finger (out 6+ weeks),Derrick Coleman,76ers
,2004-01-23,strained left groin (DNP),Erick Strickland,Bucks
,2004-01-23,strained left groin (DNP),Eddie Robinson,Bulls
,2004-01-23,strained left hamstring (DNP),Chris Mihm,Celtics
,2004-01-23,right foot irritation (DNP),Travis Hansen,Hawks
,2004-01-23,sore back (DNP),Alan Henderson,Hawks
,2004-01-23,sprained left ankle (DNP),Baron Davis,Hornets
,2004-01-23,sore right knee (DNP),David West,Hornets
,2004-01-23,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-23,sprained right ankle (DNP),Andrei Kirilenko,Jazz
,2004-01-23,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-23,broken right pinky finger (out 4-6 weeks),Brian Cook,Lakers
,2004-01-23,tooth infection (DNP),Danny Fortson,Mavericks
,2004-01-23,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-23,flu (DNP),Marquis Daniels,Mavericks
,2004-01-23,flu (DNP),Scot Pollard,Pacers
,2004-01-23,sprained left ankle (DNP),Malik Rose,Spurs
,2004-01-23,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-24,corneal abrasion (DNP),Kenny Thomas,76ers
,2004-01-24,tarsel tunnel released surgery on left foot,Todd MacCulloch,76ers
,2004-01-24,sprained right ankle (DNP),LeBron James,Cavaliers
,2004-01-24,bruised left knee (DNP),Tony Battie,Cavaliers
,2004-01-24,sprained left ankle (DNP),Baron Davis,Hornets
,2004-01-24,sore right knee (DNP),David West,Hornets
,2004-01-24,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-24,sprained right ankle (DNP),Andrei Kirilenko,Jazz
,2004-01-24,migraine headache (DNP),Shandon Anderson,Knicks
,2004-01-24,sprained right ankle (DNP),Jamal Sampson,Lakers
,2004-01-24,strained right calf (DNP),Shaquille O'Neal,Lakers
,2004-01-24,flu (DNP),Scot Pollard,Pacers
,2004-01-24,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-25,strained left groin (DNP),Eddie Robinson,Bulls
,2004-01-25,sore left knee (DNP),Scottie Pippen,Bulls
,2004-01-25,strained rib (DNP),Shane Battier,Grizzlies
,2004-01-25,right foot irritation (DNP),Travis Hansen,Hawks
,2004-01-25,sprained back (DNP),Alan Henderson,Hawks
,2004-01-25,migraine headache (DNP),Dion Glover,Hawks
,2004-01-25,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-25,tooth extraction (DNP),Danny Fortson,Mavericks
,2004-01-25,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-25,sore left ankle & toe (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-26,bruised left knee (DNP),Tony Battie,Cavaliers
,2004-01-26,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-26,sprained right ankle (DNP),Maurice Williams / Mo Williams,Jazz
,2004-01-26,bruised right quadricep (DNP),Keith Bogans,Magic
,2004-01-26,strained right quadricep (DNP),Voshon Lenard,Nuggets
,2004-01-26,bruised left quadricep (DNP),Hidayet Turkoglu / Hedo Turkoglu,Spurs
,2004-01-26,right knee tendinitis (DNP),Larry Hughes,Wizards
,2004-01-27,sprained right index finger (DNP),Allen Iverson,76ers
,2004-01-27,sprained back (DNP),Alan Henderson,Hawks
,2004-01-27,sprained left ankle (DNP),Tony Delk,Mavericks
,2004-01-27,bruised left quadricep (DNP),Hidayet Turkoglu / Hedo Turkoglu,Spurs
,2004-01-27,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-28,sprained right index finger (DNP),Allen Iverson,76ers
,2004-01-28,right knee tendinitis (DNP),Brian Grant,Heat
,2004-01-28,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-28,sprained left ankle (DNP),Maurice Williams / Mo Williams,Jazz
,2004-01-28,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-28,sprained right ankle (DNP),Jamal Sampson,Lakers
,2004-01-28,strained right quadricep (DNP),Voshon Lenard,Nuggets
,2004-01-28,flu (DNP),Zeljko Rebraca,Pistons
,2004-01-28,surgery on right elbow to remove bone chips & spurs,Michael Curry,Raptors
,2004-01-28,surgery on broken right ring finger (date approximate),Brent Barry,Sonics
,2004-01-28,broken right ring finger (DNP),Brent Barry,Sonics
,2004-01-28,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-28,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-28,sore left knee (DNP),Eduardo Najera,Mavericks
,2004-01-29,sprained back (DNP),Alan Henderson,Hawks
,2004-01-29,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-01-30,bruised left knee (DNP),Corie Blount,Bulls
,2004-01-30,right knee tendinitis (DNP),Keyon Dooling,Clippers
,2004-01-30,back spasms (DNP),Mike Miller,Grizzlies
,2004-01-30,right knee tendinitis (DNP),Brian Grant,Heat
,2004-01-30,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-30,sprained left ankle (DNP),Maurice Williams / Mo Williams,Jazz
,2004-01-30,sore right knee (DNP),Allan Houston,Knicks
,2004-01-30,flu (DNP),Zeljko Rebraca,Pistons
,2004-01-30,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-01-30,right ankle injury (DNP),Troy Murphy,Warriors
,2004-01-31,bruised left knee (DNP),Corie Blount,Bulls
,2004-01-31,sprained left ankle (DNP),Keyon Dooling,Clippers
,2004-01-31,back spasms (DNP),Mike Miller,Grizzlies
,2004-01-31,sprained back (DNP),Alan Henderson,Hawks
,2004-01-31,right knee tendinitis (DNP),Brian Grant,Heat
,2004-01-31,sprained left ankle (DNP),Baron Davis,Hornets
,2004-01-31,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-01-31,sprained left ankle (DNP),Maurice Williams / Mo Williams,Jazz
,2004-01-31,sore right knee (DNP),Allan Houston,Knicks
,2004-01-31,sore left knee (DNP),Eduardo Najera,Mavericks
,2004-01-31,strained right quadricep (DNP),Voshon Lenard,Nuggets
,2004-01-31,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-02-01,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-02-02,bruised left knee (DNP),Corie Blount,Bulls
,2004-02-02,sprained left ankle (DNP),Keyon Dooling,Clippers
,2004-02-02,sprained back (DNP),Alan Henderson,Hawks
,2004-02-02,right knee tendinitis (DNP),Brian Grant,Heat
,2004-02-02,sprained left ankle (DNP),Baron Davis,Hornets
,2004-02-02,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-02-02,strained neck (DNP),Jermaine O'Neal,Pacers
,2004-02-02,sore left ankle (DNP),Amare Stoudemire / Amar'e Stoudemire,Suns
,2004-02-02,flu (DNP),Tom Gugliotta,Suns
,2004-02-02,sprained left ankle (DNP),Mike Dunleavy Jr.,Warriors
,2004-02-03,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-02-03,sinus infection (DNP),Frank Williams,Knicks
,2004-02-03,sore left knee (DNP),Eduardo Najera,Mavericks
,2004-02-03,upper respiratory infection (DNP),Fred Jones,Pacers
,2004-02-03,back spasms (DNP),Mehmet Okur,Pistons
,2004-02-03,sprained right ankle (DNP),Alvin Williams,Raptors
,2004-02-03,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-02-03,sprained left ankle (DNP),Mike Dunleavy Jr.,Warriors
,2004-02-04,strained back (DNP),Ruben Patterson,Blazers
,2004-02-04,sprained left ankle (DNP),Marcus Haislip,Bucks
,2004-02-04,sore left knee (DNP),Scottie Pippen,Bulls
,2004-02-04,stomach flu (DNP),Jason Kapono,Cavaliers
,2004-02-04,sprained right ankle (DNP),Corey Maggette,Clippers
,2004-02-04,ill (DNP),Iakovos Tsakalidis / Jake Tsakalidis,Grizzlies
,2004-02-04,sprained back (DNP),Alan Henderson,Hawks
,2004-02-04,right knee tendinitis (DNP),Brian Grant,Heat
,2004-02-04,sprained left ankle (DNP),Dwyane Wade,Heat
,2004-02-04,sprained left ankle (DNP),Baron Davis,Hornets
,2004-02-04,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-02-04,sprained right ankle (DNP),Kareem Rush,Lakers
,2004-02-04,back spasms (DNP),Tracy McGrady,Magic
,2004-02-04,sore left knee (DNP),Eduardo Najera,Mavericks
,2004-02-04,sprained left ankle (DNP),Chris Bosh,Raptors
,2004-02-04,right wrist injury (DNP),Zarko Cabarkapa,Suns
,2004-02-04,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-02-05,sprained right ankle (DNP),Kareem Rush,Lakers
,2004-02-06,sprained left ankle (DNP),Marcus Haislip,Bucks
,2004-02-06,bruised left hip (DNP),Joe Smith,Bucks
,2004-02-06,sore left ankle (DNP),Scottie Pippen,Bulls
,2004-02-06,stomach flu (DNP),Jason Kapono,Cavaliers
,2004-02-06,sprained back (DNP),Alan Henderson,Hawks
,2004-02-06,sprained left ankle (DNP),Jacque Vaughn,Hawks
,2004-02-06,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-02-06,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-02-06,upper back spasms (DNP),Tracy McGrady,Magic
,2004-02-06,back spasms (DNP),Mehmet Okur,Pistons
,2004-02-06,sprained left ankle (DNP),Chris Bosh,Raptors
,2004-02-06,sore right wrist (DNP),Zarko Cabarkapa,Suns
,2004-02-06,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-02-06,sprained left ankle (DNP),Mike Dunleavy Jr.,Warriors
,2004-02-06,left hip pointer (DNP),Nick Van Exel,Warriors
,2004-02-07,sprained left ankle (DNP),Jacque Vaughn,Hawks
,2004-02-07,sprained left foot (DNP),Dwyane Wade,Heat
,2004-02-07,recovering from surgery on right knee (DNP),Matt Harpring,Jazz
,2004-02-07,sore left knee (DNP),Eduardo Najera,Mavericks
,2004-02-07,sore right wrist (DNP),Zarko Cabarkapa,Suns
,2004-02-08,right elbow injury (DNP),Caron Butler,Heat
,2004-02-08,strained abdominal (DNP),Bobby Jackson,Kings
,2004-02-08,recovering from surgery on left Achilles tendon (DNP),Lawrence Funderburke,Kings
,2004-02-08,sprained left big toe (DNP),Jason Collins,Nets
,2004-02-08,flu (DNP),Chris Andersen,Nuggets
,2004-02-08,bruised right knee (DNP),Al Harrington,Pacers
,2004-02-08,sprained left ankle (DNP),Chris Bosh,Raptors
,2004-02-08,sprained right ankle (DNP),Troy Hudson,Timberwolves
,2004-02-08,sprained left ankle (DNP),Mike Dunleavy Jr.,Warriors
,2004-02-08,left hip pointer (DNP),Nick Van Exel,Warriors
,2004-02-09,sprained back (DNP),Alan Henderson,Hawks
,2004-02-09,sprained left ankle (DNP),Jacque Vaughn,Hawks
,2004-02-09,arthroscopic surgery on right knee to repair torn cartilage (out 10-14 days),Andrew DeClercq,Magic
